cust_no	gen_cd	age	mclf_nm	menu_nm	sale_qty	t_5to8	t_8to11	t_11to14	t_14to17	t_17to20	t_20to22	t_22to5
9990001439248	F	30	에스프레소 베리에이션	아메리카노	62.0	0.0	13.0	24.0	11.0	8.0	8.0	0.0
9990001439248	F	30	음료	수박주스	2.0	0.0	13.0	24.0	11.0	8.0	8.0	0.0
9990021756145	F	20	에스프레소 베리에이션	달고나카페라떼	3.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	에스프레소 베리에이션	딜라이트펌킨슈페너	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	에스프레소 베리에이션	롱블랙	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	에스프레소 베리에이션	바닐라카페라떼	19.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	에스프레소 베리에이션	스페니쉬연유카페라떼	3.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	에스프레소 베리에이션	시그니처라떼	4.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	에스프레소 베리에이션	아메리카노	196.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	에스프레소 베리에이션	아이스크림카페라떼	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	에스프레소 베리에이션	카라멜마끼아또	10.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	에스프레소 베리에이션	카페라떼	43.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	에스프레소 베리에이션	콜드브루	13.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	에스프레소 베리에이션	콜드브루라떼	2.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	고구마라떼	2.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	로얄밀크티쉐이크	2.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	망고프라페	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	모카칩커피프라페	3.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	상그리아에이드	2.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	수박주스	4.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	스트로베리피치프라페	6.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	쑥라떼	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	오렌지자몽주스	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	요거트프라페	4.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	자몽에이드	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	초콜릿라떼	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	카라멜커피프라페	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	키위바나나주스	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	펌킨프라페	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	플레인요거트드링크	2.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	티 베리에이션	1837블랙티	2.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	티 베리에이션	그나와민트티	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	티 베리에이션	그린티라떼	8.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	티 베리에이션	로얄밀크티	3.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	티 베리에이션	애플민트티	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	티 베리에이션	유자레몬티	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	티 베리에이션	제주유기농녹차	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	티 베리에이션	카모마일	3.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	티 베리에이션	프렌치얼그레이	1.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
1000000021956	F	20	에스프레소 베리에이션	달고나카페라떼	1.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	에스프레소 베리에이션	바닐라카페라떼	1.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	에스프레소 베리에이션	스페니쉬연유카페라떼	2.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	에스프레소 베리에이션	아메리카노	25.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	에스프레소 베리에이션	아이스크림카페라떼	1.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	에스프레소 베리에이션	카라멜치즈크림라떼	2.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	에스프레소 베리에이션	카페라떼	6.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	로얄밀크티쉐이크	3.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	망고바나나라떼	2.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	망고프라페	1.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	바닐라밀크쉐이크	5.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	블루베리요거트드링크	4.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	샤인머스캣청포도에이드	1.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	수박주스	1.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	우유	6.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	자몽에이드	1.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	제주말차프라페	1.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	초코밀크쉐이크	1.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	카라멜팝커피프라페	4.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	커피밀크쉐이크	1.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	티 베리에이션	유자레몬티	1.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	티 베리에이션	카모마일	2.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000068124	F	20	에스프레소 베리에이션	아메리카노	16.0	0.0	0.0	12.0	3.0	2.0	0.0	0.0
1000000068124	F	20	음료	오렌지자몽주스	1.0	0.0	0.0	12.0	3.0	2.0	0.0	0.0
9990000764510	F	60	에스프레소 베리에이션	딜라이트펌킨슈페너	1.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990000764510	F	60	에스프레소 베리에이션	아메리카노	57.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990000764510	F	60	에스프레소 베리에이션	카페라떼	14.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990000764510	F	60	에스프레소 베리에이션	흑임자카페라떼	10.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990000764510	F	60	음료	블루밍요거트피치프라페	2.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990000764510	F	60	음료	블루베리요거트드링크	7.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990000764510	F	60	음료	생딸기가득주스	1.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990000764510	F	60	음료	샤인머스캣청포도에이드	1.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990000764510	F	60	음료	스트로베리라떼	1.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990000764510	F	60	음료	오렌지자몽주스	1.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990000764510	F	60	음료	요거트프라페	2.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990000764510	F	60	음료	자몽에이드	1.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990000764510	F	60	음료	초콜릿라떼	1.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990028655239	M	30	에스프레소 베리에이션	바닐라카페라떼	1.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	에스프레소 베리에이션	스페니쉬연유카페라떼	6.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	에스프레소 베리에이션	아메리카노	112.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	에스프레소 베리에이션	카라멜마끼아또	1.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	에스프레소 베리에이션	카라멜치즈크림라떼	2.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	에스프레소 베리에이션	카페라떼	3.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	에스프레소 베리에이션	카페모카	535.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	에스프레소 베리에이션	카푸치노	3.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	에스프레소 베리에이션	콜드브루	3.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	음료	레몬셔벗에이드	9.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	음료	망고프라페	1.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	음료	민트초코프라페	3.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	음료	바닐라밀크쉐이크	1.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	음료	복숭아에이드	1.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	음료	상그리아에이드	6.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	음료	생딸기가득주스	2.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	음료	샤인머스캣청포도에이드	1.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	음료	수박배주스	6.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	음료	수박주스	1.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
