cust_no	gen_cd	age	mclf_nm	menu_nm	sale_qty	t_5to8	t_8to11	t_11to14	t_14to17	t_17to20	t_20to22	t_22t
1000000978529	F	40	에스프레소 베리에이션	바닐라카페라떼	2.0	0.0	2.0	10.0	19.0	23.0	7.0	0.0
1000000978529	F	40	에스프레소 베리에이션	아메리카노	58.0	0.0	2.0	10.0	19.0	23.0	7.0	0.0
1000000978529	F	40	에스프레소 베리에이션	카페라떼	1.0	0.0	2.0	10.0	19.0	23.0	7.0	0.0
9990003475146	F	40	에스프레소 베리에이션	아메리카노	25.0	0.0	0.0	22.0	4.0	3.0	0.0	0.0
9990003475146	F	40	에스프레소 베리에이션	카페라떼	1.0	0.0	0.0	22.0	4.0	3.0	0.0	0.0
9990003475146	F	40	음료	로얄밀크티쉐이크	1.0	0.0	0.0	22.0	4.0	3.0	0.0	0.0
9990003475146	F	40	티 베리에이션	그나와민트티	1.0	0.0	0.0	22.0	4.0	3.0	0.0	0.0
9990003475146	F	40	티 베리에이션	유자레몬티	1.0	0.0	0.0	22.0	4.0	3.0	0.0	0.0
9990008237792	M	50	에스프레소 베리에이션	바닐라카페라떼	11.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	에스프레소 베리에이션	스페니쉬연유카페라떼	2.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	에스프레소 베리에이션	아메리카노	55.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	에스프레소 베리에이션	카라멜마끼아또	7.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	에스프레소 베리에이션	카페라떼	3.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	음료	레몬셔벗에이드	1.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	음료	망고바나나라떼	1.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	음료	바닐라밀크쉐이크	4.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	음료	수박주스	1.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	음료	쑥라떼	1.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	음료	오렌지자몽주스	1.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	음료	요거트프라페	1.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	음료	자몽에이드	1.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	음료	초코밀크쉐이크	1.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	음료	커피밀크쉐이크	1.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	음료	플레인요거트드링크	3.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	티 베리에이션	그린티라떼	1.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	티 베리에이션	오렌지자몽티	2.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	티 베리에이션	유자레몬티	1.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
9990008237792	M	50	티 베리에이션	허니레몬티	1.0	0.0	28.0	52.0	19.0	0.0	0.0	0.0
1000000645619	F	20	에스프레소 베리에이션	바닐라카페라떼	14.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	에스프레소 베리에이션	스페니쉬연유카페라떼	26.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	에스프레소 베리에이션	아메리카노	18.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	에스프레소 베리에이션	오늘의커피	29.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	에스프레소 베리에이션	카라멜치즈크림라떼	2.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	에스프레소 베리에이션	카페라떼	15.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	에스프레소 베리에이션	카푸치노	1.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	에스프레소 베리에이션	콜드브루	2.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	에스프레소 베리에이션	콜드브루라떼	4.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	레몬셔벗에이드	6.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	로얄밀크티쉐이크	4.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	바닐라밀크쉐이크	1.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	복숭아에이드	2.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	생딸기가득주스	2.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	샤인머스캣청포도에이드	3.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	스트로베리초콜릿프라페	2.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	스트로베리피치프라페	2.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	오렌지에이드	3.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	자몽에이드	1.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	제주말차프라페	2.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	초코밀크쉐이크	1.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	커피밀크쉐이크	2.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
1000000645619	F	20	음료	키위바나나주스	2.0	4.0	49.0	76.0	23.0	5.0	3.0	0.0
