cust_no	gen_cd	age	mclf_nm	sale_qty	t_5to8	t_8to11	t_11to14	t_14to17	t_17to20	t_20to22	t_22to5
9990001439248	F	30	에스프레소 베리에이션	62.0	0.0	13.0	24.0	11.0	8.0	8.0	0.0
9990001439248	F	30	음료	2.0	0.0	13.0	24.0	11.0	8.0	8.0	0.0
9990021756145	F	20	에스프레소 베리에이션	296.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	음료	33.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
9990021756145	F	20	티 베리에이션	21.0	0.0	333.0	4.0	5.0	6.0	2.0	0.0
1000000021956	F	20	에스프레소 베리에이션	38.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	음료	31.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000021956	F	20	티 베리에이션	3.0	0.0	0.0	21.0	30.0	21.0	0.0	0.0
1000000068124	F	20	에스프레소 베리에이션	16.0	0.0	0.0	12.0	3.0	2.0	0.0	0.0
1000000068124	F	20	음료	1.0	0.0	0.0	12.0	3.0	2.0	0.0	0.0
9990000764510	F	60	에스프레소 베리에이션	82.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990000764510	F	60	음료	17.0	0.0	12.0	10.0	39.0	26.0	11.0	1.0
9990028655239	M	30	에스프레소 베리에이션	666.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	음료	133.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
9990028655239	M	30	티 베리에이션	10.0	0.0	104.0	128.0	227.0	214.0	95.0	41.0
1000000131146	M	40	에스프레소 베리에이션	101.0	14.0	36.0	23.0	6.0	16.0	8.0	0.0
1000000131146	M	40	음료	2.0	14.0	36.0	23.0	6.0	16.0	8.0	0.0
1000000880474	M	30	에스프레소 베리에이션	67.0	0.0	7.0	25.0	30.0	5.0	8.0	0.0
1000000880474	M	30	음료	7.0	0.0	7.0	25.0	30.0	5.0	8.0	0.0
1000000880474	M	30	티 베리에이션	1.0	0.0	7.0	25.0	30.0	5.0	8.0	0.0
9990000069497	F	40	에스프레소 베리에이션	13.0	0.0	0.0	0.0	5.0	5.0	4.0	4.0
9990000069497	F	40	음료	3.0	0.0	0.0	0.0	5.0	5.0	4.0	4.0
9990000069497	F	40	티 베리에이션	2.0	0.0	0.0	0.0	5.0	5.0	4.0	4.0
9990007060351	F	20	에스프레소 베리에이션	48.0	0.0	3.0	1.0	2.0	20.0	34.0	1.0
9990007060351	F	20	음료	9.0	0.0	3.0	1.0	2.0	20.0	34.0	1.0
9990007060351	F	20	티 베리에이션	4.0	0.0	3.0	1.0	2.0	20.0	34.0	1.0
1000000554520	F	40	에스프레소 베리에이션	5.0	0.0	0.0	7.0	2.0	2.0	0.0	0.0
1000000554520	F	40	음료	2.0	0.0	0.0	7.0	2.0	2.0	0.0	0.0
1000000554520	F	40	티 베리에이션	4.0	0.0	0.0	7.0	2.0	2.0	0.0	0.0
1000000807541	M	50	에스프레소 베리에이션	71.0	0.0	14.0	30.0	14.0	2.0	16.0	0.0
1000000807541	M	50	음료	4.0	0.0	14.0	30.0	14.0	2.0	16.0	0.0
1000000807541	M	50	티 베리에이션	1.0	0.0	14.0	30.0	14.0	2.0	16.0	0.0
9990015096019	F	20	에스프레소 베리에이션	21.0	0.0	11.0	6.0	5.0	5.0	4.0	0.0
